,planet_type,radius,orbital_radius,orbital_days,eccentricity,detection_method
4553,Gas Giant,1.28 x Jupiter(estimate),0.85,2.8,0.0,Gravitational Microlensing
4554,Gas Giant,1.16 x Jupiter(estimate),5.4,34.8,0.0,Gravitational Microlensing
4555,Gas Giant,1.16 x Jupiter(estimate),6.4,19.1,0.0,Gravitational Microlensing
4556,Gas Giant,1.28 x Jupiter(estimate),1.7,4,0.0,Gravitational Microlensing
4557,Gas Giant,1.1 x Jupiter(estimate),2.17,3.4,0.0,Gravitational Microlensing
4558,Super Earth,1.11 x Earth(estimate),1.16,4.4,0.0,Gravitational Microlensing
4559,Gas Giant,1.24 x Jupiter(estimate),3.4,19.8,0.0,Gravitational Microlensing
4560,Super Earth,1.62 x Earth(estimate),3.913,12.2,0.0,Gravitational Microlensing
4561,Gas Giant,1.25 x Jupiter(estimate),2.424,7.6,0.0,Gravitational Microlensing
4562,Gas Giant,1.27 x Jupiter(estimate),3.5,8.8,0.0,Gravitational Microlensing
4563,Neptune-like,0.263 x Jupiter(estimate),1.8,5.4,0.0,Gravitational Microlensing
4564,Gas Giant,1.27 x Jupiter(estimate),4.06,9.8,0.0,Gravitational Microlensing
4565,Gas Giant,1.14 x Jupiter(estimate),3.92,10.5,0.0,Gravitational Microlensing
4566,Gas Giant,1.17 x Jupiter(estimate),2.73,6.7,0.0,Gravitational Microlensing
4567,Gas Giant,1.21 x Jupiter(estimate),1.02,2.2,0.0,Gravitational Microlensing
4568,Gas Giant,1.11 x Jupiter(estimate),3.04,5.9,0.0,Gravitational Microlensing
4569,Super Earth,1.94 x Earth(estimate),1.18,2.7,0.0,Gravitational Microlensing
4570,Gas Giant,1.25 x Jupiter(estimate),0.59,2.3,0.0,Gravitational Microlensing
4571,Neptune-like,0.215 x Jupiter(estimate),1.8,7.6,0.0,Gravitational Microlensing
4572,Neptune-like,0.212 x Jupiter(estimate),1.064,2.5,0.0,Gravitational Microlensing
4573,Gas Giant,1.1 x Jupiter(estimate),2.72,9,0.0,Gravitational Microlensing
4574,Neptune-like,0.34 x Jupiter(estimate),0.97,2,0.0,Gravitational Microlensing
4575,Super Earth,1.82 x Earth(estimate),0.63,1.4,0.0,Gravitational Microlensing
4576,Gas Giant,1.15 x Jupiter(estimate),5.0,15,0.0,Gravitational Microlensing
4577,Gas Giant,1.22 x Jupiter(estimate),3.59,9.3,0.0,Gravitational Microlensing
4578,Gas Giant,1.2 x Jupiter(estimate),1.8,5.7,0.0,Gravitational Microlensing
4579,Gas Giant,1.18 x Jupiter(estimate),0.8,1.7,0.0,Gravitational Microlensing
4580,Neptune-like,0.253 x Jupiter(estimate),1.54,3.1,0.0,Gravitational Microlensing
4581,Gas Giant,1.25 x Jupiter(estimate),4.51,9.1,0.0,Gravitational Microlensing
4582,Gas Giant,1.25 x Jupiter(estimate),3.3,9.1,0.0,Gravitational Microlensing
4583,Gas Giant,1.15 x Jupiter(estimate),2.8,7.2,0.0,Gravitational Microlensing
4584,Gas Giant,1.14 x Jupiter(estimate),2.8,6.1,0.0,Gravitational Microlensing
4585,Gas Giant,1.27 x Jupiter(estimate),1.23,2.6,0.0,Gravitational Microlensing
4586,Gas Giant,1.1 x Jupiter(estimate),2.65,4.8,0.0,Gravitational Microlensing
4587,Super Earth,1.39 x Earth(estimate),1.9,3.7,0.0,Gravitational Microlensing
4588,Gas Giant,1.61 x Jupiter,0.0308,2.5,0.0,Transit
4589,Gas Giant,1.25 x Jupiter,0.0434,3.1,< 0.82,Transit
4590,Gas Giant,1.019 x Jupiter,0.0473,4,< 0.54,Transit
4591,Gas Giant,1.093 x Jupiter,0.02289,1.4,< 0.15,Transit
4592,Gas Giant,1.2 x Jupiter,0.03035,1.7,< 0.6,Transit
4593,Gas Giant,1.13 x Jupiter,0.051,4,0.0,Transit
4594,Gas Giant,1.36 x Jupiter,0.051,3.7,0.0,Transit
4595,Gas Giant,1.363 x Jupiter,0.02383,1.2,< 0.67,Transit
4596,Gas Giant,1.2 x Jupiter(estimate),1.1,277,0.11,Radial Velocity
4597,Gas Giant,1.21 x Jupiter(estimate),0.83,187.8,0.19,Radial Velocity
4598,Gas Giant,1.16 x Jupiter(estimate),3.9,4.5,0.13,Radial Velocity
4599,Gas Giant,1.1 x Jupiter(estimate),243.0,20000,0.0,Direct Imaging
4600,Gas Giant,2.72 x Jupiter,20.0,119.2,0.19,Direct Imaging
4601,Gas Giant,2.04 x Jupiter,34.0,227.5,0.11,Direct Imaging
4602,Neptune-like,0.551 x Jupiter,0.652,138.3,0.07,Transit
4603,Gas Giant,0.903 x Jupiter,0.828,282.5,0.41,Transit
4604,Neptune-like,2.042 x Earth,0.06839,6.3,0.0,Transit
4605,Neptune-like,0.332 x Jupiter(estimate),Unknown,124.6,0.22,Radial Velocity
4606,Gas Giant,0.941 x Jupiter,0.03734,3.2,0.0,Transit
4607,Gas Giant,1.27 x Jupiter(estimate),0.06,4.4,0.0,Radial Velocity
4608,Gas Giant,1.2 x Jupiter(estimate),0.03176,2.1,0.01,Radial Velocity
4609,Gas Giant,1.12 x Jupiter(estimate),5.5,13.3,0.71,Radial Velocity
4610,Super Earth,1.08 x Earth(estimate),0.0485,11.2,< 0.35,Radial Velocity
4611,Gas Giant,1.21 x Jupiter(estimate),4.43,8.5,0.4,Radial Velocity
4612,Super Earth,1.22 x Earth(estimate),10.26,27.8,0.24,Pulsar Timing
4613,Terrestrial,0.338 x Earth(estimate),0.19,25.3,0.0,Pulsar Timing
4614,Super Earth,1.91 x Earth(estimate),0.36,66.5,0.02,Pulsar Timing
4615,Super Earth,1.8 x Earth(estimate),0.46,98.2,0.03,Pulsar Timing
4616,Gas Giant,1.18 x Jupiter(estimate),23.0,95,0.0,Pulsar Timing
4617,Gas Giant,Unknown,0.0044,0.1,< 0.06,Pulsar Timing
4618,Gas Giant,1.24 x Jupiter(estimate),0.0102,0.3,< 0.0017,Pulsar Timing
4619,Gas Giant,1.543 x Jupiter,0.0286,1.6,0.0,Transit
4620,Gas Giant,1.143 x Jupiter,0.02332,1.4,0.0,Transit
4621,Gas Giant,1.254 x Jupiter,0.02153,1.3,0.0,Transit
4622,Gas Giant,1.096 x Jupiter,0.03783,2.5,0.0,Transit
4623,Gas Giant,1.135 x Jupiter,0.02803,1.8,0.0,Transit
4624,Gas Giant,1.107 x Jupiter,0.04127,2.9,0.0,Transit
4625,Gas Giant,1.062 x Jupiter,0.0423,3.5,0.0,Transit
4626,Gas Giant,1.7 x Jupiter,0.0352,2,0.0,Transit
4627,Gas Giant,1.285 x Jupiter,0.0474,3.7,0.0,Transit
4628,Gas Giant,1.009 x Jupiter,0.0234,1.5,0.0,Transit
4629,Gas Giant,1.23 x Jupiter(estimate),0.2196,39.8,0.04,Radial Velocity
4630,Neptune-like,0.48 x Jupiter(estimate),0.4123,102.5,0.05,Radial Velocity
4631,Super Earth,1.11 x Earth(estimate),0.0496,9.9,0.12,Radial Velocity
4632,Gas Giant,1.25 x Jupiter,1100.0,48780.2,0.0,Direct Imaging
4633,Super Earth,1.83 x Earth(estimate),0.05366,10.8,0.33,Radial Velocity
4634,Gas Giant,1.09 x Jupiter(estimate),210.0,3264.5,< 0.83,Direct Imaging
4635,Gas Giant,1.12 x Jupiter(estimate),157.0,1968.3,< 0.58,Direct Imaging
4636,Gas Giant,1.16 x Jupiter(estimate),5.3,11.9,0.0,Eclipse Timing Variations
4637,Gas Giant,1.1 x Jupiter(estimate),Unknown,365,0.0,Direct Imaging
4638,Gas Giant,1.13 x Jupiter,0.03,1.8,0.0,Transit
4639,Gas Giant,0.81 x Jupiter,0.055,4.2,0.0,Transit
4640,Gas Giant,1.2 x Jupiter(estimate),0.0968,10.8,0.0,Radial Velocity
4641,Gas Giant,1.14 x Jupiter(estimate),0.049,3.3,0.01,Radial Velocity
4642,Super Earth,1.81 x Earth(estimate),0.538,162.9,0.18,Radial Velocity
4643,Super Earth,1.81 x Earth(estimate),1.334,1.7,0.16,Radial Velocity
4644,Super Earth,1.18 x Earth(estimate),0.133,20,0.06,Radial Velocity
4645,Super Earth,1.19 x Earth(estimate),0.243,49.4,0.23,Radial Velocity
4646,Gas Giant,1.08 x Jupiter(estimate),1.17,305.5,0.03,Radial Velocity
4647,Neptune-like,0.421 x Jupiter(estimate),0.94,433.3,0.0,Gravitational Microlensing
4648,Super Earth,1.02 x Earth(estimate),0.0252,4.9,0.0,Radial Velocity
4649,Super Earth,1.04 x Earth(estimate),0.0443,11.4,0.0,Radial Velocity
4650,Gas Giant,1.004 x Jupiter,0.90281,200.5,0.03,Transit
4651,Gas Giant,1.117 x Jupiter,0.1207,15.2,0.58,Transit
4652,Gas Giant,1.49 x Jupiter,0.051,3.7,0.03,Transit
4653,Super Earth,0.202 x Jupiter,0.052,4.1,0.18,Transit
4654,Neptune-like,0.276 x Jupiter(estimate),0.08,8,0.14,Radial Velocity
4655,Super Earth,0.231 x Jupiter,0.06152,6.4,0.05,Transit
4656,Neptune-like,0.237 x Jupiter,0.09429,12.2,0.09,Transit
4657,Super Earth,1.72 x Earth,0.0118,0.6,0.0,Transit
4658,Gas Giant,1.3 x Jupiter,0.0561,4.1,0.03,Transit
4659,Neptune-like,0.326 x Jupiter,0.04394,4.1,0.22,Transit
4660,Gas Giant,1.5 x Jupiter,0.07098,8.4,0.05,Transit
4661,Gas Giant,1.3 x Jupiter,Unknown,2.1,0.0,Transit
4662,Neptune-like,0.215 x Jupiter,0.0287,2.5,0.0,Transit
4663,Gas Giant,0.854 x Jupiter,0.0886,27.4,0.0,Transit
4664,Neptune-like,0.243 x Jupiter,0.0392,5.1,0.0,Transit
4665,Neptune-like,0.326 x Jupiter,0.1288,24.2,0.09,Transit
4666,Super Earth,1.694 x Earth,0.03826,3.4,< 0.15,Transit
4667,Neptune-like,0.269 x Jupiter,0.049,4.3,0.0,Transit
4668,Super Earth,0.224 x Jupiter,0.061,5.9,0.0,Transit
4669,Neptune-like,0.313 x Jupiter,0.131,18.7,0.0,Transit
4670,Neptune-like,0.337 x Jupiter,0.211,37.9,0.0,Transit
4671,Gas Giant,1.022 x Jupiter,0.0407,3.5,0.0,Transit
4672,Neptune-like,0.243 x Jupiter,0.05186,4.7,0.19,Transit
4673,Neptune-like,0.246 x Jupiter,0.0814,9.2,0.07,Transit
4674,Neptune-like,0.261 x Jupiter,0.137,20,0.17,Transit
4675,Super Earth,0.209 x Jupiter,0.0366,3.1,0.0,Transit
4676,Neptune-like,0.252 x Jupiter,0.0656,7.5,0.0,Transit
4677,Super Earth,0.211 x Jupiter,0.0736,10.9,0.09,Transit
4678,Super Earth,1.56 x Earth,0.1058,18.8,0.04,Transit
4679,Gas Giant,0.812 x Jupiter,0.0711,8.2,0.11,Transit
4680,Gas Giant,1.09 x Jupiter,0.095,14.5,0.01,Transit
4681,Gas Giant,1.231 x Jupiter,0.0497,3.9,0.06,Transit
4682,Gas Giant,0.841 x Jupiter,0.059,4.5,0.03,Transit
4683,Neptune-like,0.305 x Jupiter,0.026,2.1,0.06,Transit
4684,Gas Giant,1.396 x Jupiter,0.0626,4.7,0.07,Transit
4685,Neptune-like,0.611 x Jupiter,0.4607,95.2,0.09,Transit
4686,Super Earth,1.36 x Earth,0.023,1.5,0.0,Transit
4687,Gas Giant,1.49 x Jupiter,0.046,2.7,0.0,Transit
4688,Super Earth,1.17 x Earth,0.0071,0.4,0.0,Transit
4689,Super Earth,1.397 x Earth,Unknown,0.5,0.0,Transit
4690,Neptune-like,0.309 x Jupiter(estimate),Unknown,16.1,0.0,Radial Velocity
4691,Gas Giant,1.06 x Jupiter,0.0903,10.2,0.02,Transit
4692,Gas Giant,1.255 x Jupiter,0.07037,5.9,0.26,Transit
4693,Gas Giant,1.36 x Jupiter,Unknown,2.1,0.0,Transit
4694,Gas Giant,1.875 x Jupiter,0.0389,1.9,< 0.01,Transit
4695,Gas Giant,1.286 x Jupiter,0.03138,2.1,0.0,Transit
4696,Gas Giant,1.239 x Jupiter,0.06864,5.3,0.04,Transit
4697,Super Earth,1.79 x Earth,0.01545,1,< 0.16,Transit
4698,Gas Giant,1.489 x Jupiter,0.058,4.2,0.0,Transit
4699,Super Earth,2.06 x Earth,0.103,11,0.59,Transit
4700,Gas Giant,0.987 x Jupiter,0.249,40.7,0.09,Transit
4701,Super Earth,1.7 x Earth,0.011557,0.7,0.0,Transit
4702,Super Earth,1.41 x Earth,0.0226,1.8,0.0,Transit
4703,Gas Giant,0.289 x Jupiter,0.0235,2.5,0.0,Transit
4704,Gas Giant,1.086 x Jupiter,0.03524,2.3,0.0,Transit
4705,Neptune-like,0.476 x Jupiter,0.16,24.3,0.16,Transit
4706,Neptune-like,0.451 x Jupiter,0.0391,3.5,0.06,Transit
4707,Gas Giant,0.965 x Jupiter,0.0914,9.5,0.38,Transit
4708,Super Earth,1.39 x Earth,0.0291,2.4,< 0.14,Transit
4709,Neptune-like,2.12 x Earth,0.0443,4.5,< 0.019,Transit
4710,Neptune-like,0.225 x Jupiter,0.0707,9,< 0.062,Transit
