,planet_type,radius,orbital_radius,orbital_days,eccentricity,detection_method
0,Gas Giant,1.08 x Jupiter(estimate),1.29,326.0,0.23,Radial Velocity
1,Gas Giant,1.09 x Jupiter(estimate),1.53,1.4,0.08,Radial Velocity
2,Gas Giant,1.15 x Jupiter(estimate),0.83,185.8,0.0,Radial Velocity
3,Gas Giant,1.15 x Jupiter(estimate),2.93,4.9,0.37,Radial Velocity
4,Gas Giant,1.2 x Jupiter(estimate),1.66,2.2,0.68,Radial Velocity
5,Gas Giant,1.15 x Jupiter(estimate),1.45,1.6,0.06,Radial Velocity
6,Gas Giant,1.11 x Jupiter(estimate),2.6,2.7,0.08,Radial Velocity
7,Gas Giant,1.664 x Jupiter,330.0,6505.9,0.0,Direct Imaging
8,Gas Giant,1.24 x Jupiter(estimate),0.19,30.4,0.04,Radial Velocity
9,Gas Giant,1.19 x Jupiter(estimate),1.333,452.8,0.09,Radial Velocity
10,Gas Giant,1.24 x Jupiter(estimate),2.08,2.4,0.29,Radial Velocity
11,Gas Giant,1.16 x Jupiter(estimate),118.0,3110.6,0.0,Direct Imaging
12,Gas Giant,1.1 x Jupiter(estimate),84.0,1767.2,0.0,Direct Imaging
13,Gas Giant,1.0 x Jupiter,52.0,593.2,0.0,Direct Imaging
14,Gas Giant,1.44 x Jupiter,156.0,5878.1,0.0,Direct Imaging
15,Gas Giant,1.13 x Jupiter(estimate),15.0,411.0,0.0,Direct Imaging
16,Gas Giant,1.15 x Jupiter(estimate),55.0,2885.9,0.0,Direct Imaging
17,Gas Giant,1.2 x Jupiter(estimate),0.92,406.0,0.33,Eclipse Timing Variations
18,Gas Giant,0.92 x Jupiter,Unknown,20.1,0.26,Direct Imaging
19,Gas Giant,1.1 x Jupiter(estimate),230.0,4505.7,0.0,Direct Imaging
20,Gas Giant,1.1 x Jupiter(estimate),0.99,335.1,0.29,Radial Velocity
21,Gas Giant,1.16 x Jupiter(estimate),1.19,479.1,0.38,Radial Velocity
22,Gas Giant,1.18 x Jupiter(estimate),2.1,3.0,0.03,Radial Velocity
23,Gas Giant,1.27 x Jupiter(estimate),3.6,6.6,0.1,Radial Velocity
24,Gas Giant,1.2 x Jupiter(estimate),11.6,38.4,0.16,Radial Velocity
25,Gas Giant,1.13 x Jupiter(estimate),0.87,269.3,0.43,Radial Velocity
26,Gas Giant,1.19 x Jupiter(estimate),13.2,32.0,0.45,Direct Imaging
27,Gas Giant,1.27 x Jupiter(estimate),0.0527,4.2,0.01,Radial Velocity
28,Gas Giant,1.24 x Jupiter(estimate),0.1134,14.7,0.0,Radial Velocity
29,Gas Giant,0.76 x Jupiter(estimate),0.2373,44.4,0.03,Radial Velocity
30,Gas Giant,1.16 x Jupiter(estimate),5.957,15.3,0.13,Radial Velocity
31,Super Earth,1.875 x Earth,0.01544,0.7,0.05,Radial Velocity
32,Gas Giant,0.677 x Jupiter(estimate),0.7708,259.9,0.08,Radial Velocity
33,Neptune-like,2.11 x Earth(estimate),0.050201,4.2,0.12,Radial Velocity
34,Neptune-like,0.398 x Jupiter(estimate),0.2175,38.0,0.14,Radial Velocity
35,Neptune-like,0.456 x Jupiter(estimate),0.476,123.0,0.35,Radial Velocity
36,Gas Giant,1.19 x Jupiter(estimate),2.11,2.6,0.07,Radial Velocity
37,Gas Giant,1.13 x Jupiter(estimate),0.481,116.7,0.4,Radial Velocity
38,Gas Giant,1.17 x Jupiter(estimate),2.1,1.9,0.12,Radial Velocity
39,Gas Giant,1.2 x Jupiter(estimate),1.758,2.0,0.06,Radial Velocity
40,Gas Giant,1.24 x Jupiter(estimate),2.153,2.7,0.08,Radial Velocity
41,Gas Giant,1.14 x Jupiter(estimate),2.5,2.6,0.21,Radial Velocity
42,Gas Giant,1.22 x Jupiter(estimate),0.49,93.4,0.06,Radial Velocity
43,Gas Giant,1.17 x Jupiter(estimate),0.7,181.4,0.03,Radial Velocity
44,Gas Giant,1.12 x Jupiter(estimate),93.9,587.7,0.4,Direct Imaging
45,Gas Giant,1.1 x Jupiter(estimate),260.0,4421.7,0.0,Direct Imaging
46,Gas Giant,1.2 x Jupiter(estimate),1.2,380.8,0.25,Radial Velocity
47,Gas Giant,1.13 x Jupiter(estimate),1.46,1.7,0.1,Radial Velocity
48,Neptune-like,0.363 x Jupiter,0.0645,8.5,0.19,Transit
49,Neptune-like,0.289 x Jupiter,0.1101,18.9,0.04,Transit
50,Gas Giant,1.11 x Jupiter(estimate),556.0,4904.1,< 0.4,Direct Imaging
51,Gas Giant,1.07 x Jupiter(estimate),1.48,2.0,0.39,Radial Velocity
52,Gas Giant,1.13 x Jupiter(estimate),1.3,481.9,0.2,Radial Velocity
53,Neptune-like,0.254 x Jupiter(estimate),0.0428,3.9,0.0,Radial Velocity
54,Gas Giant,0.747 x Jupiter(estimate),0.435,125.9,0.31,Radial Velocity
55,Neptune-like,0.322 x Jupiter(estimate),0.06,5.6,0.15,Radial Velocity
56,Gas Giant,1.11 x Jupiter(estimate),0.68,237.6,0.19,Radial Velocity
57,Gas Giant,1.26 x Jupiter(estimate),0.04,3.5,0.02,Radial Velocity
58,Gas Giant,1.25 x Jupiter(estimate),2.36,4.5,0.05,Radial Velocity
59,Neptune-like,0.36 x Jupiter(estimate),0.3,74.2,0.4,Radial Velocity
60,Gas Giant,1.11 x Jupiter(estimate),1.66,2.0,0.21,Radial Velocity
61,Gas Giant,1.23 x Jupiter(estimate),0.78,268.9,0.29,Radial Velocity
62,Gas Giant,1.23 x Jupiter(estimate),0.576,153.2,0.0,Radial Velocity
63,Gas Giant,1.23 x Jupiter(estimate),0.539,137.5,0.26,Radial Velocity
64,Gas Giant,1.15 x Jupiter(estimate),1.34,1.8,0.54,Radial Velocity
65,Gas Giant,1.03 x Jupiter(estimate),1.05,379.6,0.15,Radial Velocity
66,Gas Giant,1.1 x Jupiter(estimate),2.01,1.7,0.18,Radial Velocity
67,Gas Giant,1.16 x Jupiter(estimate),1.3,1.6,0.21,Radial Velocity
68,Neptune-like,0.23 x Jupiter,0.241,41.7,0.0,Transit
69,Gas Giant,1.21 x Jupiter(estimate),0.83,307.9,0.12,Radial Velocity
70,Gas Giant,1.24 x Jupiter(estimate),1.0,392.6,0.2,Radial Velocity
71,Gas Giant,1.2 x Jupiter(estimate),1.7,2.0,0.76,Radial Velocity
72,Gas Giant,1.21 x Jupiter(estimate),4.2,7.1,0.35,Radial Velocity
73,Gas Giant,1.25 x Jupiter(estimate),0.78,265.6,0.27,Radial Velocity
74,Gas Giant,1.31 x Jupiter,1662.0,67794.6,0.0,Direct Imaging
75,Gas Giant,1.16 x Jupiter(estimate),2.06,3.3,0.88,Radial Velocity
76,Gas Giant,1.12 x Jupiter(estimate),1.7,1.7,0.08,Radial Velocity
77,Gas Giant,1.65 x Jupiter,9.1,21.0,0.08,Direct Imaging
78,Gas Giant,1.12 x Jupiter(estimate),2.7,3.3,0.24,Radial Velocity
79,Gas Giant,1.14 x Jupiter(estimate),1.4,1.4,0.19,Radial Velocity
80,Super Earth,1.82 x Earth(estimate),0.0185,2.3,0.0,Radial Velocity
81,Gas Giant,1.11 x Jupiter(estimate),2.6,27.5,0.0,Direct Imaging
82,Gas Giant,1.86 x Jupiter,200.0,22027.4,0.0,Direct Imaging
83,Gas Giant,1.1 x Jupiter(estimate),210.0,5146.9,0.0,Direct Imaging
84,Gas Giant,1.11 x Jupiter(estimate),Unknown,9.0,0.25,Radial Velocity
85,Gas Giant,1.11 x Jupiter,7506.0,1101369.9,0.0,Direct Imaging
86,Gas Giant,0.97 x Jupiter,0.1055,13.2,0.53,Transit
87,Gas Giant,1.43 x Jupiter,0.0436,3.0,0.0,Transit
88,Gas Giant,1.44 x Jupiter,0.04016,2.8,0.07,Transit
89,Gas Giant,0.885 x Jupiter,0.051,4.0,0.0,Transit
90,Gas Giant,1.09 x Jupiter,0.027,1.5,0.0,Transit
91,Gas Giant,1.17 x Jupiter,0.0618,5.4,0.33,Transit
92,Gas Giant,1.02 x Jupiter,0.0461,3.8,0.0,Transit
93,Gas Giant,1.31 x Jupiter,0.0295,1.9,< 0.08,Transit
94,Gas Giant,1.29 x Jupiter,0.0518,3.9,0.05,Transit
95,Gas Giant,1.49 x Jupiter,0.02752,1.5,0.0,Transit
96,Gas Giant,0.84 x Jupiter,0.09,9.2,0.59,Transit
97,Gas Giant,1.09 x Jupiter(estimate),2.9,4.6,0.6,Radial Velocity
98,Gas Giant,1.3 x Jupiter,0.0417,2.7,0.0,Transit
99,Neptune-like,0.435 x Jupiter,0.092,9.8,0.08,Transit
100,Gas Giant,1.05 x Jupiter,0.048,3.6,0.16,Transit
101,Neptune-like,0.33 x Jupiter,0.056,5.1,0.0,Transit
102,Neptune-like,0.44 x Jupiter,0.098,11.8,0.0,Transit
103,Gas Giant,1.08 x Jupiter,0.0578,4.9,0.0,Transit
104,Gas Giant,1.26 x Jupiter,0.0526,4.2,0.0,Transit
105,Gas Giant,1.007 x Jupiter,0.0476,3.6,< 0.065,Transit
106,Gas Giant,0.955 x Jupiter,0.0603,5.2,0.05,Transit
107,Gas Giant,0.9 x Jupiter,0.0386,2.9,0.08,Transit
108,Gas Giant,1.466 x Jupiter,0.02798,1.7,0.01,Transit
109,Gas Giant,1.009 x Jupiter,0.0844,9.1,0.01,Transit
110,Gas Giant,1.46 x Jupiter,0.0586,4.6,0.02,Transit
111,Gas Giant,1.01 x Jupiter,0.05783,4.3,0.0,Transit
112,Gas Giant,1.19 x Jupiter,0.09,9.2,0.0,Transit
113,Gas Giant,1.388 x Jupiter,0.04947,4.0,0.09,Transit
114,Gas Giant,1.166 x Jupiter,0.0855,8.9,< 0.1,Transit
115,Super Earth,1.681 x Earth,0.017016,0.9,0.0,Transit
116,Neptune-like,0.253 x Jupiter(estimate),0.046,3.7,0.0,Radial Velocity
117,Gas Giant,0.57 x Jupiter,0.063,6.2,0.0,Transit
118,Gas Giant,1.066 x Jupiter,0.4021,95.3,0.13,Transit
119,Gas Giant,0.57 x Jupiter,0.071,6.7,0.0,Transit
120,Gas Giant,2.2 x Jupiter,440.0,inf,0.0,Direct Imaging
121,Gas Giant,1.1 x Jupiter(estimate),5.75,11.2,0.0,Eclipse Timing Variations
122,Gas Giant,1.06 x Jupiter(estimate),0.36,246.4,0.35,Astrometry
123,Gas Giant,2.7 x Jupiter,330.0,10441.5,0.0,Direct Imaging
124,Neptune-like,0.472 x Jupiter(estimate),0.1462,18.6,< 0.083,Radial Velocity
125,Neptune-like,0.273 x Jupiter(estimate),0.0733,6.6,< 0.057,Radial Velocity
126,Super Earth,1.65 x Earth(estimate),0.0422,2.9,< 0.07,Radial Velocity
127,Super Earth,1.86 x Earth(estimate),0.0651,5.5,< 0.07,Radial Velocity
128,Gas Giant,1.28 x Jupiter(estimate),0.0664,5.2,0.08,Radial Velocity
129,Super Earth,1.41 x Earth(estimate),0.0662,6.7,0.14,Radial Velocity
130,Gas Giant,1.14 x Jupiter(estimate),8.19,28.0,0.39,Eclipse Timing Variations
131,Neptune-like,0.509 x Jupiter,Unknown,8.1,0.0,Transit
132,Super Earth,1.047 x Earth,0.0349,6.8,0.0,Transit
133,Super Earth,1.87 x Earth,Unknown,28.2,0.0,Transit
134,Super Earth,1.5 x Earth,Unknown,0.7,0.0,Transit
135,Terrestrial,0.692 x Earth,Unknown,2.1,0.0,Transit
136,Super Earth,1.3 x Earth,Unknown,0.9,0.0,Transit
137,Super Earth,1.22 x Earth,Unknown,3.8,0.0,Transit
138,Super Earth,1.03 x Earth,Unknown,2.7,0.0,Transit
139,Terrestrial,0.908 x Earth,0.0296,2.0,0.0,Transit
140,Terrestrial,1.0 x Earth,Unknown,4.0,0.0,Transit
141,Super Earth,1.04 x Earth,0.035,4.2,0.0,Transit
142,Super Earth,1.31 x Earth,Unknown,8.1,0.0,Transit
143,Super Earth,1.7 x Earth,Unknown,4.5,0.0,Transit
144,Super Earth,1.4 x Earth,Unknown,0.9,0.0,Transit
145,Neptune-like,0.232 x Jupiter,Unknown,14.6,0.0,Transit
146,Super Earth,1.01 x Earth,Unknown,2.9,0.0,Transit
147,Super Earth,1.7 x Earth,Unknown,5.3,0.0,Transit
148,Super Earth,1.2 x Earth,Unknown,0.4,0.0,Transit
149,Terrestrial,1.0 x Earth,Unknown,2.3,0.0,Transit
150,Terrestrial,0.96 x Earth,Unknown,1.6,0.0,Transit
151,Super Earth,2.094 x Earth,Unknown,17.5,0.0,Transit
152,Super Earth,1.92 x Earth,0.1195,21.2,0.06,Transit
153,Neptune-like,0.514 x Jupiter,0.1493,19.5,0.0,Transit
154,Super Earth,1.48 x Earth,Unknown,2.3,0.0,Transit
155,Neptune-like,0.203 x Jupiter,Unknown,5.2,0.0,Transit
156,Neptune-like,2.17 x Earth,Unknown,18.1,0.0,Transit
157,Super Earth,1.6 x Earth,Unknown,34.9,0.0,Transit
158,Super Earth,1.26 x Earth,Unknown,15.3,0.0,Transit
159,Neptune-like,0.207 x Jupiter,Unknown,23.2,0.0,Transit
160,Super Earth,1.2 x Earth,Unknown,0.6,0.0,Transit
161,Neptune-like,0.205 x Jupiter,Unknown,11.8,0.0,Transit
162,Neptune-like,0.231 x Jupiter,0.098,13.6,0.2,Transit
163,Neptune-like,0.24 x Jupiter,0.28,65.6,0.2,Transit
164,Terrestrial,0.99 x Earth,Unknown,0.8,0.0,Transit
165,Super Earth,1.6 x Earth,Unknown,0.7,0.0,Transit
166,Super Earth,1.6 x Earth,0.01312,0.6,0.0,Transit
167,Neptune-like,2.2 x Earth,0.1091,13.3,0.18,Transit
168,Super Earth,1.1 x Earth,Unknown,0.7,0.0,Transit
169,Gas Giant,1.051 x Jupiter,0.07229,6.2,0.0,Transit
170,Gas Giant,1.11 x Jupiter,4.5,10.0,0.0,Transit
171,Super Earth,1.95 x Earth,0.047,3.6,0.06,Transit
172,Neptune-like,0.327 x Jupiter,0.13,15.6,0.07,Transit
173,Neptune-like,0.352 x Jupiter,0.22,35.7,0.15,Transit
174,Gas Giant,1.13 x Jupiter(estimate),1.3,417.9,0.11,Radial Velocity
175,Gas Giant,1.24 x Jupiter(estimate),3.5,7.4,0.07,Radial Velocity
176,Gas Giant,1.17 x Jupiter(estimate),11.55,45.2,0.26,Radial Velocity
177,Gas Giant,1.13 x Jupiter(estimate),1.93,1.6,0.15,Radial Velocity
178,Gas Giant,1.09 x Jupiter(estimate),800.0,101250.8,0.0,Direct Imaging
179,Super Earth,1.39 x Earth(estimate),0.02279,2.3,0.0,Radial Velocity
180,Super Earth,1.76 x Earth(estimate),0.0525,8.1,0.0,Radial Velocity
181,Super Earth,2.025 x Earth,0.0385,5.7,0.0,Transit
182,Gas Giant,1.229 x Jupiter,0.04047,3.1,0.0,Transit
183,Gas Giant,1.322 x Jupiter,0.0467,3.7,0.0,Transit
184,Gas Giant,1.12 x Jupiter(estimate),1.19,428.5,0.14,Radial Velocity
185,Gas Giant,1.12 x Jupiter(estimate),2.05,2.5,0.05,Radial Velocity
186,Gas Giant,1.23 x Jupiter(estimate),1.24,415.2,0.21,Radial Velocity
187,Gas Giant,1.15 x Jupiter(estimate),2.17,2.6,0.06,Radial Velocity
188,Gas Giant,1.22 x Jupiter(estimate),1.32,1.5,0.2,Radial Velocity
189,Super Earth,1.1 x Earth(estimate),0.021,3.2,< 0.31,Radial Velocity
190,Super Earth,1.18 x Earth(estimate),0.035,6.7,< 0.29,Radial Velocity
191,Super Earth,1.16 x Earth(estimate),0.054,13.0,< 0.53,Radial Velocity
192,Super Earth,1.13 x Earth,0.0153,1.6,0.22,Transit
193,Super Earth,1.43 x Earth(estimate),0.0476,8.9,< 0.27,Radial Velocity
194,Gas Giant,1.07 x Jupiter(estimate),0.166,41.4,0.38,Radial Velocity
195,Gas Giant,0.866 x Jupiter(estimate),0.912,1.5,0.34,Radial Velocity
196,Super Earth,1.39 x Earth(estimate),0.01735,2.0,0.0,Radial Velocity
197,Neptune-like,0.245 x Jupiter,0.0149,1.6,< 0.063,Transit
198,Super Earth,1.193 x Earth,0.00916,0.5,0.0,Transit
199,Neptune-like,0.234 x Jupiter(estimate),0.026,3.7,0.04,Radial Velocity
200,Neptune-like,0.233 x Jupiter,0.1915,35.6,0.19,Transit
201,Super Earth,1.55 x Earth(estimate),0.072,11.4,0.09,Radial Velocity
202,Neptune-like,0.595 x Jupiter(estimate),5.4,20.8,0.27,Radial Velocity
203,Neptune-like,0.283 x Jupiter(estimate),0.053,5.2,0.06,Radial Velocity
204,Neptune-like,0.29 x Jupiter(estimate),0.0607,8.6,0.07,Radial Velocity
205,Neptune-like,0.223 x Jupiter(estimate),0.1254,25.6,0.1,Radial Velocity
206,Neptune-like,0.528 x Jupiter(estimate),1.0304,1.7,0.37,Radial Velocity
207,Gas Giant,1.24 x Jupiter(estimate),2.41,6.3,0.21,Radial Velocity
208,Neptune-like,0.217 x Jupiter(estimate),0.092,17.1,0.07,Radial Velocity
209,Neptune-like,0.215 x Jupiter(estimate),0.129,24.3,0.09,Radial Velocity
210,Neptune-like,0.237 x Jupiter(estimate),0.309,106.3,0.14,Radial Velocity
211,Neptune-like,0.372 x Jupiter(estimate),0.283,70.0,0.72,Radial Velocity
212,Neptune-like,0.232 x Jupiter(estimate),0.339,122.0,0.19,Radial Velocity
213,Neptune-like,0.254 x Jupiter(estimate),0.898,1.4,0.1,Radial Velocity
214,Super Earth,1.83 x Earth(estimate),0.0818,14.2,0.1,Radial Velocity
215,Neptune-like,0.327 x Jupiter(estimate),0.101,15.8,0.08,Radial Velocity
216,Super Earth,1.51 x Earth(estimate),0.091101,18.6,0.1,Radial Velocity
217,Super Earth,1.06 x Earth(estimate),0.036467,4.7,0.17,Radial Velocity
218,Gas Giant,1.17 x Jupiter(estimate),0.49,133.7,0.51,Radial Velocity
219,Neptune-like,0.249 x Jupiter(estimate),0.079,11.9,0.22,Radial Velocity
220,Super Earth,1.18 x Earth(estimate),0.0197,1.2,0.19,Radial Velocity
221,Super Earth,1.88 x Earth(estimate),0.057,6.0,0.11,Radial Velocity
222,Neptune-like,0.288 x Jupiter(estimate),0.698,257.8,0.32,Radial Velocity
223,Gas Giant,1.18 x Jupiter(estimate),1.151,1.9,0.07,Radial Velocity
224,Gas Giant,1.2 x Jupiter(estimate),5.23,18.5,0.17,Radial Velocity
225,Gas Giant,1.19 x Jupiter(estimate),4.5,11.2,0.37,Radial Velocity
226,Neptune-like,0.463 x Jupiter(estimate),0.14339,30.6,0.06,Radial Velocity
227,Neptune-like,0.434 x Jupiter(estimate),0.36175,122.6,0.11,Radial Velocity
228,Neptune-like,0.238 x Jupiter(estimate),0.19394,48.1,0.12,Radial Velocity
229,Super Earth,1.63 x Earth(estimate),0.08208,13.3,0.21,Radial Velocity
230,Super Earth,1.23 x Earth(estimate),0.03282,5.4,0.23,Radial Velocity
231,Super Earth,1.32 x Earth(estimate),0.1264,40.5,0.17,Radial Velocity
232,Neptune-like,0.219 x Jupiter(estimate),0.089,14.2,0.31,Radial Velocity
233,Neptune-like,0.284 x Jupiter(estimate),0.141,24.5,0.11,Radial Velocity
234,Neptune-like,0.408 x Jupiter,0.0355,3.3,0.02,Radial Velocity
235,Super Earth,1.264 x Earth,0.01589,1.2,0.0,Transit
236,Neptune-like,0.235 x Jupiter(estimate),0.0876,15.5,0.0,Radial Velocity
237,Gas Giant,1.27 x Jupiter(estimate),0.338,203.6,0.44,Radial Velocity
238,Super Earth,1.217 x Earth,0.035,3.9,0.0,Transit
239,Super Earth,1.66 x Earth(estimate),0.061,9.1,0.0,Radial Velocity
240,Neptune-like,0.209 x Jupiter(estimate),0.204,55.7,0.0,Radial Velocity
241,Neptune-like,0.253 x Jupiter(estimate),0.0287,2.6,0.08,Radial Velocity
242,Terrestrial,0.718 x Earth,0.0071,0.3,0.0,Transit
243,Neptune-like,0.245 x Jupiter(estimate),0.026,3.0,0.07,Radial Velocity
244,Super Earth,1.15 x Earth,0.02569,2.6,0.0,Transit
245,Super Earth,1.17 x Earth(estimate),0.05402,7.0,0.0,Radial Velocity
246,Neptune-like,0.229 x Jupiter(estimate),0.0608,6.9,0.12,Radial Velocity
247,Super Earth,1.38 x Earth(estimate),0.029,2.6,0.0,Radial Velocity
248,Neptune-like,0.212 x Jupiter(estimate),0.089,13.7,0.05,Radial Velocity
249,Super Earth,1.45 x Earth(estimate),0.07879,12.9,0.06,Radial Velocity
250,Neptune-like,0.235 x Jupiter,0.2324,50.8,0.45,Radial Velocity
251,Gas Giant,0.749 x Jupiter,1.4,2.1,0.11,Radial Velocity
252,Neptune-like,0.297 x Jupiter(estimate),0.111,20.1,0.11,Radial Velocity
253,Neptune-like,0.377 x Jupiter(estimate),0.082,13.4,0.37,Radial Velocity
254,Neptune-like,0.208 x Jupiter(estimate),0.062,7.4,0.04,Radial Velocity
255,Neptune-like,0.56 x Jupiter(estimate),4.819,14.0,0.12,Radial Velocity
256,Neptune-like,2.14 x Earth(estimate),0.178,36.1,0.07,Radial Velocity
257,Neptune-like,0.372 x Jupiter,0.0291,2.6,0.14,Radial Velocity
258,Neptune-like,0.33 x Jupiter(estimate),0.068,9.6,0.1,Radial Velocity
259,Super Earth,1.305 x Earth,0.01734,1.5,0.05,Radial Velocity
260,Gas Giant,1.16 x Jupiter(estimate),43.5,259.9,0.0,Direct Imaging
261,Neptune-like,2.13 x Earth(estimate),0.422,140.4,0.45,Radial Velocity
262,Neptune-like,2.17 x Earth(estimate),0.06661,8.7,0.08,Radial Velocity
263,Neptune-like,0.366 x Jupiter(estimate),0.04061,5.4,0.0,Radial Velocity
264,Neptune-like,2.21 x Earth(estimate),0.0721,12.9,0.0,Radial Velocity
265,Super Earth,1.17 x Earth(estimate),0.02815,3.1,0.0,Radial Velocity
266,Super Earth,1.49 x Earth(estimate),0.078361,14.6,0.13,Radial Velocity
267,Gas Giant,1.11 x Jupiter(estimate),1.135,1.6,0.3,Radial Velocity
268,Neptune-like,2.23 x Earth(estimate),0.0505,7.2,0.13,Radial Velocity
269,Super Earth,1.77 x Earth(estimate),0.125,28.1,0.02,Radial Velocity
270,Super Earth,1.45 x Earth(estimate),0.213,62.2,0.02,Radial Velocity
271,Super Earth,1.45 x Earth(estimate),0.156,39.0,0.03,Radial Velocity
272,Super Earth,1.99 x Earth(estimate),0.549,256.2,0.08,Radial Velocity
273,Neptune-like,0.297 x Jupiter(estimate),0.039,4.7,0.2,Radial Velocity
274,Gas Giant,1.13 x Jupiter(estimate),1.82,2.9,0.33,Radial Velocity
275,Gas Giant,1.13 x Jupiter(estimate),6.6,20.1,0.0,Radial Velocity
276,Super Earth,1.93 x Earth(estimate),0.0413,3.6,0.26,Radial Velocity
277,Neptune-like,0.247 x Jupiter(estimate),0.187,35.4,0.13,Radial Velocity
278,Super Earth,1.93 x Earth(estimate),0.08,17.5,0.08,Radial Velocity
279,Neptune-like,0.258 x Jupiter(estimate),0.176,57.3,0.1,Radial Velocity
280,Neptune-like,0.263 x Jupiter(estimate),0.1344,24.2,0.0,Radial Velocity
281,Neptune-like,0.385 x Jupiter(estimate),0.163,38.1,0.17,Radial Velocity
282,Neptune-like,0.369 x Jupiter(estimate),1.165,2.0,0.4,Radial Velocity
283,Neptune-like,0.336 x Jupiter(estimate),0.119,19.5,0.12,Radial Velocity
284,Super Earth,1.53 x Earth(estimate),0.029,2.4,0.24,Radial Velocity
285,Gas Giant,1.25 x Jupiter(estimate),3.56,10.0,0.08,Radial Velocity
286,Neptune-like,2.18 x Earth(estimate),0.163,35.7,0.18,Radial Velocity
287,Gas Giant,1.24 x Jupiter(estimate),2.409,5.2,0.04,Radial Velocity
288,Gas Giant,1.25 x Jupiter(estimate),4.974,19.4,0.1,Radial Velocity
289,Gas Giant,1.15 x Jupiter(estimate),0.11,15.8,0.04,Radial Velocity
290,Gas Giant,1.19 x Jupiter(estimate),0.208317,61.1,0.03,Radial Velocity
291,Gas Giant,1.25 x Jupiter(estimate),0.12959,30.1,0.26,Radial Velocity
292,Neptune-like,0.224 x Jupiter(estimate),0.020807,1.9,0.21,Radial Velocity
293,Neptune-like,0.35 x Jupiter(estimate),0.3343,124.3,0.06,Radial Velocity
294,Super Earth,1.88 x Earth(estimate),0.068,9.3,0.0,Radial Velocity
295,Neptune-like,0.238 x Jupiter(estimate),0.12,21.8,0.0,Radial Velocity
296,Neptune-like,0.544 x Jupiter(estimate),0.403,241.9,0.18,Radial Velocity
297,Gas Giant,0.856 x Jupiter(estimate),0.88,2.1,0.46,Radial Velocity
298,Neptune-like,0.274 x Jupiter(estimate),0.1139,18.3,0.29,Radial Velocity
299,Neptune-like,0.417 x Jupiter(estimate),0.291,73.9,0.44,Radial Velocity
300,Super Earth,1.577 x Earth,0.0188,1.2,0.0,Transit
301,Super Earth,1.241 x Earth,0.03925,3.6,0.0,Transit
302,Neptune-like,2.022 x Earth,0.05591,6.2,0.0,Transit
303,Neptune-like,0.327 x Jupiter(estimate),0.039435,3.8,0.11,Radial Velocity
304,Neptune-like,0.2 x Jupiter(estimate),0.0905,13.9,0.36,Radial Velocity
305,Neptune-like,0.22 x Jupiter(estimate),0.091,15.5,0.05,Radial Velocity
306,Gas Giant,1.47 x Jupiter,0.0338,1.7,0.0,Transit
307,Gas Giant,3.0 x Jupiter,100.0,1195.9,0.0,Direct Imaging
308,Gas Giant,1.8 x Jupiter,320.0,6037.4,0.0,Direct Imaging
309,Gas Giant,1.265 x Jupiter,2000.0,155788.8,0.0,Direct Imaging
310,Neptune-like,0.389 x Jupiter,0.05254,4.9,0.22,Transit
311,Gas Giant,1.19 x Jupiter(estimate),4.13,9.3,0.6,Radial Velocity
312,Gas Giant,0.959 x Jupiter,0.0384,3.2,0.0,Transit
313,Gas Giant,1.272 x Jupiter,0.04383,2.9,0.01,Transit
314,Gas Giant,1.1 x Jupiter(estimate),1.258,446.3,0.66,Radial Velocity
315,Gas Giant,1.42 x Jupiter,0.0596,4.6,0.11,Transit
316,Gas Giant,1.06 x Jupiter,0.0965,10.9,0.19,Transit
317,Gas Giant,1.289 x Jupiter,0.0413,2.8,0.04,Transit
318,Gas Giant,1.05 x Jupiter,0.0882,10.3,0.35,Transit
319,Gas Giant,1.17 x Jupiter(estimate),5.6,15.3,0.39,Radial Velocity
320,Gas Giant,0.995 x Jupiter,0.0559,5.5,0.08,Transit
321,Gas Giant,1.132 x Jupiter,0.0466,4.0,0.07,Transit
322,Gas Giant,1.319 x Jupiter,0.05561,4.5,0.0,Transit
323,Gas Giant,0.867 x Jupiter,0.0361,2.9,0.02,Transit
324,Gas Giant,1.11 x Jupiter,0.0494,4.1,0.23,Transit
325,Gas Giant,1.15 x Jupiter,0.0414,3.2,0.02,Transit
326,Gas Giant,1.09 x Jupiter,0.0232,1.2,0.11,Transit
327,Gas Giant,1.3 x Jupiter,0.04651,3.4,0.07,Transit
328,Gas Giant,1.135 x Jupiter,0.0466,3.7,0.02,Transit
329,Neptune-like,0.63 x Jupiter,0.0479,4.2,0.12,Transit
330,Gas Giant,1.02 x Jupiter,0.04,3.0,0.0,Transit
331,Gas Giant,1.212 x Jupiter,0.0434,3.3,0.05,Transit
332,Gas Giant,1.17 x Jupiter,0.0667,5.7,0.09,Transit
333,Gas Giant,0.951 x Jupiter,0.06814,5.6,0.52,Transit
334,Gas Giant,1.44 x Jupiter,0.0419,2.8,0.04,Transit
335,Gas Giant,1.09 x Jupiter,0.061,5.0,0.25,Transit
336,Gas Giant,1.98 x Jupiter,0.03397,2.2,0.16,Transit
337,Gas Giant,1.85 x Jupiter,0.04995,3.5,0.0,Transit
338,Gas Giant,1.197 x Jupiter,0.06774,5.5,0.43,Transit
339,Gas Giant,1.332 x Jupiter,0.04978,3.6,< 0.02,Transit
340,Gas Giant,1.277 x Jupiter,0.0241,1.3,0.06,Transit
