iter	Passed	Remaining
410	3847	5514
411	3857	5504
412	3865	5494
413	3875	5485
414	3884	5475
415	3893	5466
416	3902	5456
417	3911	5446
418	3920	5436
419	3929	5426
420	3938	5416
421	3947	5406
422	3956	5397
423	3965	5386
424	3974	5377
425	3983	5367
426	3992	5357
427	4001	5347
428	4010	5338
429	4019	5328
430	4028	5318
431	4037	5308
432	4046	5298
433	4055	5289
434	4064	5279
435	4073	5269
436	4082	5260
437	4091	5250
438	4101	5240
439	4109	5230
440	4119	5221
441	4128	5212
442	4137	5202
443	4147	5193
444	4156	5183
445	4165	5174
446	4174	5163
447	4183	5154
448	4191	5144
449	4201	5134
450	4210	5125
451	4219	5115
452	4228	5105
453	4237	5095
454	4246	5086
455	4255	5076
456	4264	5066
457	4273	5057
458	4283	5048
459	4292	5038
460	4301	5028
461	4309	5018
462	4319	5009
463	4328	4999
464	4337	4990
465	4346	4980
466	4355	4970
467	4364	4961
468	4373	4951
469	4382	4941
470	4391	4931
471	4400	4922
472	4409	4912
473	4418	4903
474	4427	4893
475	4436	4883
476	4445	4873
477	4454	4864
478	4463	4855
479	4472	4845
480	4481	4835
481	4490	4826
482	4499	4816
483	4509	4807
484	4518	4797
485	4527	4788
486	4536	4778
487	4545	4768
488	4554	4758
489	4562	4749
490	4572	4739
491	4581	4730
492	4590	4720
493	4599	4710
494	4608	4701
495	4617	4691
496	4626	4682
497	4635	4672
498	4644	4663
499	4653	4653
500	4662	4643
501	4671	4634
502	4680	4624
503	4689	4614
504	4698	4605
505	4707	4596
506	4716	4586
507	4725	4576
508	4734	4567
509	4744	4557
510	4752	4548
511	4762	4538
512	4771	4529
513	4780	4519
514	4789	4510
515	4798	4500
516	4807	4491
517	4816	4481
518	4825	4472
519	4834	4462
520	4843	4453
521	4852	4443
522	4861	4433
523	4870	4424
524	4879	4414
525	4888	4405
526	4897	4395
527	4906	4386
528	4915	4376
529	4925	4367
530	4934	4358
531	4943	4348
532	4952	4339
533	4961	4329
534	4970	4319
535	4979	4310
536	4988	4300
537	4997	4291
538	5006	4282
539	5015	4272
540	5024	4262
541	5033	4253
542	5042	4243
543	5051	4234
544	5060	4224
545	5069	4214
546	5078	4205
547	5087	4195
548	5096	4186
549	5105	4177
550	5114	4167
551	5124	4158
552	5133	4149
553	5141	4139
554	5150	4129
555	5159	4120
556	5168	4110
557	5177	4101
558	5186	4091
559	5196	4082
560	5205	4073
561	5214	4063
562	5223	4054
563	5232	4044
564	5241	4035
565	5250	4025
566	5259	4016
567	5268	4007
568	5277	3997
569	5287	3988
570	5295	3978
571	5304	3969
572	5313	3959
573	5322	3950
574	5331	3940
575	5340	3931
576	5349	3921
577	5358	3912
578	5367	3902
579	5376	3893
580	5385	3884
581	5395	3874
582	5404	3865
583	5413	3856
584	5422	3846
585	5430	3836
586	5440	3827
587	5449	3818
588	5458	3808
589	5467	3799
590	5476	3790
591	5485	3780
592	5494	3771
593	5503	3761
594	5512	3752
595	5521	3742
596	5530	3733
597	5539	3723
598	5548	3714
599	5557	3704
600	5566	3695
601	5575	3685
602	5584	3676
603	5593	3667
604	5602	3657
605	5611	3648
606	5620	3638
607	5629	3629
608	5638	3619
609	5647	3610
610	5655	3600
611	5664	3591
612	5673	3582
613	5682	3572
614	5692	3563
615	5701	3554
616	5710	3544
617	5719	3535
618	5728	3525
619	5737	3516
620	5746	3507
621	5755	3497
622	5764	3488
623	5773	3479
624	5783	3470
625	5792	3460
626	5801	3451
627	5809	3441
628	5818	3432
629	5828	3422
630	5837	3413
631	5845	3403
632	5854	3394
633	5863	3385
634	5872	3375
635	5882	3366
636	5890	3356
637	5900	3347
638	5909	3338
639	5918	3329
640	5927	3319
641	5935	3309
642	5944	3300
643	5953	3291
644	5962	3281
645	5971	3272
646	5980	3262
647	5989	3253
648	5998	3244
649	6007	3234
650	6016	3225
651	6025	3215
652	6034	3206
653	6043	3197
654	6052	3187
655	6061	3178
656	6070	3169
657	6080	3160
658	6089	3150
659	6098	3141
660	6107	3132
661	6116	3122
662	6125	3113
663	6134	3104
664	6144	3095
665	6153	3085
666	6161	3076
667	6170	3066
668	6180	3057
669	6188	3048
670	6197	3038
671	6206	3029
672	6216	3020
673	6225	3011
674	6234	3001
675	6244	2992
676	6253	2983
677	6263	2974
678	6272	2965
679	6282	2956
680	6291	2946
681	6300	2937
682	6310	2928
683	6319	2919
684	6328	2910
685	6337	2900
686	6346	2891
687	6355	2882
688	6365	2873
689	6374	2863
690	6383	2854
691	6392	2845
692	6401	2835
693	6411	2827
694	6420	2817
695	6429	2808
696	6439	2799
697	6448	2790
698	6458	2781
699	6467	2771
700	6476	2762
701	6485	2753
702	6494	2743
703	6503	2734
704	6512	2725
705	6521	2715
706	6530	2706
707	6539	2697
708	6549	2688
709	6558	2678
710	6567	2669
711	6576	2660
712	6585	2650
713	6594	2641
714	6603	2632
715	6612	2622
716	6621	2613
717	6630	2604
718	6639	2594
719	6648	2585
720	6656	2575
721	6665	2566
722	6674	2557
723	6684	2548
724	6693	2539
725	6702	2529
726	6712	2520
727	6721	2511
